keyphrase,cluster_id,document_id,experiment_id
payment issue resolution,13,688da4aa56cd4d67b0bfa01c,umap_1_hdbscan_3
fraudulent transaction review,3,688da4aa56cd4d67b0bfa01d,umap_1_hdbscan_3
direct debit failure,0,688da4aa56cd4d67b0bfa01e,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4aa56cd4d67b0bfa01f,umap_1_hdbscan_3
fail direct debit,4,688da4aa56cd4d67b0bfa020,umap_1_hdbscan_3
direct deposit delay,6,688da4aa56cd4d67b0bfa021,umap_1_hdbscan_3
direct deposit issue,5,688da4aa56cd4d67b0bfa022,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4aa56cd4d67b0bfa023,umap_1_hdbscan_3
unrecognized charge dispute,1,688da4aa56cd4d67b0bfa024,umap_1_hdbscan_3
direct debit failure,0,688da4aa56cd4d67b0bfa025,umap_1_hdbscan_3
recur charge inquiry,9,688da4aa56cd4d67b0bfa026,umap_1_hdbscan_3
card activation issue,8,688da4aa56cd4d67b0bfa027,umap_1_hdbscan_3
deposit processing issue,12,688da4aa56cd4d67b0bfa028,umap_1_hdbscan_3
card activation issue,8,688da4aa56cd4d67b0bfa029,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4aa56cd4d67b0bfa02a,umap_1_hdbscan_3
direct deposit inquiry,-1,688da4aa56cd4d67b0bfa02b,umap_1_hdbscan_3
card activation failure,8,688da4aa56cd4d67b0bfa02c,umap_1_hdbscan_3
direct deposit delay,6,688da4aa56cd4d67b0bfa02d,umap_1_hdbscan_3
direct deposit delay,6,688da4aa56cd4d67b0bfa02e,umap_1_hdbscan_3
direct deposit review,-1,688da4ab56cd4d67b0bfa02f,umap_1_hdbscan_3
card delivery error,8,688da4ab56cd4d67b0bfa030,umap_1_hdbscan_3
direct deposit issue,5,688da4ab56cd4d67b0bfa031,umap_1_hdbscan_3
card decline issue,8,688da4ab56cd4d67b0bfa032,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa033,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ab56cd4d67b0bfa034,umap_1_hdbscan_3
unauthorized transaction inquiry,1,688da4ab56cd4d67b0bfa035,umap_1_hdbscan_3
deposit discrepancy issue,12,688da4ab56cd4d67b0bfa036,umap_1_hdbscan_3
direct debit failure,0,688da4ab56cd4d67b0bfa037,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa038,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa039,umap_1_hdbscan_3
direct deposit error,5,688da4ab56cd4d67b0bfa03a,umap_1_hdbscan_3
payment issue investigation,13,688da4ab56cd4d67b0bfa03b,umap_1_hdbscan_3
card decline issue,8,688da4ab56cd4d67b0bfa03c,umap_1_hdbscan_3
deposit issue investigation,12,688da4ab56cd4d67b0bfa03d,umap_1_hdbscan_3
fraudulent transaction block,3,688da4ab56cd4d67b0bfa03e,umap_1_hdbscan_3
direct deposit inquiry,-1,688da4ab56cd4d67b0bfa03f,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa040,umap_1_hdbscan_3
travel card block,8,688da4ab56cd4d67b0bfa041,umap_1_hdbscan_3
direct deposit delay,6,688da4ab56cd4d67b0bfa042,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa043,umap_1_hdbscan_3
upi transfer block,11,688da4ab56cd4d67b0bfa044,umap_1_hdbscan_3
fraudulent transaction block,3,688da4ab56cd4d67b0bfa045,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa046,umap_1_hdbscan_3
direct debit block,0,688da4ab56cd4d67b0bfa047,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ab56cd4d67b0bfa048,umap_1_hdbscan_3
direct deposit issue,5,688da4ab56cd4d67b0bfa049,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ab56cd4d67b0bfa04a,umap_1_hdbscan_3
card decline issue,8,688da4ab56cd4d67b0bfa04b,umap_1_hdbscan_3
misdeliver debit card,10,688da4ab56cd4d67b0bfa04c,umap_1_hdbscan_3
fraudulent transaction claim,3,688da4ac56cd4d67b0bfa04d,umap_1_hdbscan_3
direct debit failure,0,688da4ac56cd4d67b0bfa04e,umap_1_hdbscan_3
statement discrepancy inquiry,12,688da4ac56cd4d67b0bfa04f,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ac56cd4d67b0bfa050,umap_1_hdbscan_3
direct deposit issue,5,688da4ac56cd4d67b0bfa051,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ac56cd4d67b0bfa052,umap_1_hdbscan_3
recur charge inquiry,9,688da4ac56cd4d67b0bfa053,umap_1_hdbscan_3
payment issue resolution,13,688da4ac56cd4d67b0bfa054,umap_1_hdbscan_3
decline transaction issue,8,688da4ac56cd4d67b0bfa055,umap_1_hdbscan_3
direct debit failure,0,688da4ac56cd4d67b0bfa056,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ac56cd4d67b0bfa057,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ac56cd4d67b0bfa058,umap_1_hdbscan_3
direct deposit issue,5,688da4ac56cd4d67b0bfa059,umap_1_hdbscan_3
subscription dispute inquiry,7,688da4ac56cd4d67b0bfa05a,umap_1_hdbscan_3
subscription charge inquiry,7,688da4ac56cd4d67b0bfa05b,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ac56cd4d67b0bfa05c,umap_1_hdbscan_3
payment processing issue,13,688da4ac56cd4d67b0bfa05d,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ac56cd4d67b0bfa05e,umap_1_hdbscan_3
account access issue,-1,688da4ac56cd4d67b0bfa05f,umap_1_hdbscan_3
unauthorized subscription charge,1,688da4ac56cd4d67b0bfa060,umap_1_hdbscan_3
upi transfer failure,11,688da4ac56cd4d67b0bfa061,umap_1_hdbscan_3
deposit issue investigation,12,688da4ac56cd4d67b0bfa062,umap_1_hdbscan_3
direct debit failure,0,688da4ac56cd4d67b0bfa063,umap_1_hdbscan_3
payment processing issue,13,688da4ac56cd4d67b0bfa064,umap_1_hdbscan_3
account balance discrepancy,12,688da4ac56cd4d67b0bfa065,umap_1_hdbscan_3
dispute charge inquiry,2,688da4ac56cd4d67b0bfa066,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ac56cd4d67b0bfa067,umap_1_hdbscan_3
upi transfer failure,11,688da4ac56cd4d67b0bfa068,umap_1_hdbscan_3
subscription charge inquiry,7,688da4ac56cd4d67b0bfa069,umap_1_hdbscan_3
direct deposit delay,6,688da4ac56cd4d67b0bfa06a,umap_1_hdbscan_3
fraudulent charge review,2,688da4ad56cd4d67b0bfa06b,umap_1_hdbscan_3
direct deposit inquiry,-1,688da4ad56cd4d67b0bfa06c,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ad56cd4d67b0bfa06d,umap_1_hdbscan_3
card activation issue,8,688da4ad56cd4d67b0bfa06e,umap_1_hdbscan_3
direct debit failure,0,688da4ad56cd4d67b0bfa06f,umap_1_hdbscan_3
unrecognized charge dispute,1,688da4ad56cd4d67b0bfa070,umap_1_hdbscan_3
deposit hold issue,12,688da4ad56cd4d67b0bfa071,umap_1_hdbscan_3
fraudulent transaction claim,3,688da4ad56cd4d67b0bfa072,umap_1_hdbscan_3
unauthorized charge inquiry,1,688da4ad56cd4d67b0bfa073,umap_1_hdbscan_3
payroll deposit delay,-1,688da4ad56cd4d67b0bfa074,umap_1_hdbscan_3
decline transaction issue,8,688da4ad56cd4d67b0bfa075,umap_1_hdbscan_3
fraudulent access attempt,3,688da4ad56cd4d67b0bfa076,umap_1_hdbscan_3
subscription charge dispute,7,688da4ad56cd4d67b0bfa077,umap_1_hdbscan_3
direct deposit delay,6,688da4ad56cd4d67b0bfa078,umap_1_hdbscan_3
direct debit block,0,688da4ad56cd4d67b0bfa079,umap_1_hdbscan_3
mortgage payment rejection,13,688da4ad56cd4d67b0bfa07a,umap_1_hdbscan_3
direct debit failure,0,688da4ad56cd4d67b0bfa07b,umap_1_hdbscan_3
direct deposit delay,6,688da4ad56cd4d67b0bfa07c,umap_1_hdbscan_3
direct debit failure,0,688da4ad56cd4d67b0bfa07d,umap_1_hdbscan_3
miss direct deposit,6,688da4ad56cd4d67b0bfa07e,umap_1_hdbscan_3
deposit issue inquiry,12,688da4ad56cd4d67b0bfa07f,umap_1_hdbscan_3
fraudulent transaction dispute,3,688da4ad56cd4d67b0bfa080,umap_1_hdbscan_3
subscription dispute,7,688da4ad56cd4d67b0bfa081,umap_1_hdbscan_3
recur charge inquiry,9,688da4ad56cd4d67b0bfa082,umap_1_hdbscan_3
direct deposit delay,6,688da4ad56cd4d67b0bfa083,umap_1_hdbscan_3
direct debit failure,0,688da4ad56cd4d67b0bfa084,umap_1_hdbscan_3
otp delivery failure,11,688da4ad56cd4d67b0bfa085,umap_1_hdbscan_3
unauthorized subscription dispute,1,688da4ad56cd4d67b0bfa086,umap_1_hdbscan_3
debit card decline,10,688da4ad56cd4d67b0bfa087,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ad56cd4d67b0bfa088,umap_1_hdbscan_3
charge dispute inquiry,9,688da4ad56cd4d67b0bfa089,umap_1_hdbscan_3
card decline issue,8,688da4ae56cd4d67b0bfa08a,umap_1_hdbscan_3
deposit posting delay,12,688da4ae56cd4d67b0bfa08b,umap_1_hdbscan_3
subscription dispute,7,688da4ae56cd4d67b0bfa08c,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ae56cd4d67b0bfa08d,umap_1_hdbscan_3
deposit delay issue,12,688da4ae56cd4d67b0bfa08e,umap_1_hdbscan_3
fraudulent charge dispute,2,688da4ae56cd4d67b0bfa08f,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ae56cd4d67b0bfa090,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ae56cd4d67b0bfa091,umap_1_hdbscan_3
unauthorized charge inquiry,1,688da4ae56cd4d67b0bfa092,umap_1_hdbscan_3
direct debit failure,0,688da4ae56cd4d67b0bfa093,umap_1_hdbscan_3
direct debit rejection,0,688da4ae56cd4d67b0bfa094,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ae56cd4d67b0bfa095,umap_1_hdbscan_3
deposit delay issue,12,688da4ae56cd4d67b0bfa096,umap_1_hdbscan_3
subscription charge inquiry,7,688da4ae56cd4d67b0bfa097,umap_1_hdbscan_3
unauthorized charge dispute,1,688da4ae56cd4d67b0bfa098,umap_1_hdbscan_3
fail direct debit,4,688da4ae56cd4d67b0bfa099,umap_1_hdbscan_3
card decline issue,8,688da4ae56cd4d67b0bfa09a,umap_1_hdbscan_3
