Dominant_topic,Subtopics,Dominant_topic_weightage,Subtopics_weightage,Subtopics_count
Treasury System Error,"Treasury Management Problem, Cash Management Issue, Liquidity Management Error, Financial Planning Problem",0.56,"0.16,0.15,0.13,0.12",4
Cash Flow Issue,"Liquidity Problem Alert, Cash Flow Issue, Working Capital Problem, Treasury Planning Error",0.72,"0.21,0.20,0.16,0.15",4
Foreign Exchange Problem,"Foreign Exchange Problem, Currency Trading Issue, FX Risk Management, Exchange Rate Problem",0.48,"0.14,0.13,0.11,0.10",4
Letter Credit Amendment,"Trade Finance Amendment, Letter Credit Change, Documentary Credit Update, Trade Document Modification",0.65,"0.19,0.17,0.15,0.14",4
Trade Documentation Error,"Import Export Documentation, Trade Paper Problem, Shipping Document Issue, Commercial Invoice Error",0.51,"0.18,0.16,0.14,0.13",4
Import Finance Question,"Import Financing Question, Import Credit Issue, Trade Finance Query, Import Letter Problem",0.69,"0.21,0.20,0.17,0.16",4
Export Credit Issue,"Export Credit Problem, Export Finance Issue, Trade Credit Query, Export Guarantee Problem",0.45,"0.13,0.12,0.10,0.10",4
Corporate Loan Inquiry,"Business Loan Question, Commercial Credit Issue, Corporate Lending Query, Credit Facility Question",0.58,"0.20,0.18,0.16,0.15",4
Overdraft Facility Request,"Credit Line Request, Overdraft Application Issue, Facility Request Problem, Credit Approval Question",0.62,"0.15,0.14,0.12,0.11",4
Investment Advisory Question,"Investment Advisory Issue, Portfolio Management Problem, Wealth Advisory Question, Investment Consultation Error",0.74,"0.21,0.19,0.16,0.15",4
Wealth Management Issue,"Asset Management Problem, Portfolio Service Issue, Investment Management Error, Fund Management Problem",0.43,"0.13,0.12,0.11,0.10",4
Private Banking Service,"High Net Worth, Premium Banking Service, Exclusive Banking Issue, Elite Client Problem",0.67,"0.18,0.17,0.14,0.13",4
Relationship Manager Request,"Account Manager Issue, Client Relationship Problem, Relationship Banking Error, Personal Banker Question",0.52,"0.17,0.16,0.13,0.12",4
Account Opening Issue,"New Account Problem, Account Setup Issue, Customer Onboarding Error, Registration Process Problem",0.71,"0.20,0.18,0.17,0.16",4
KYC Documentation Problem,"Identity Verification Problem, Customer Due Diligence, Know Your Customer, Identity Documentation Issue",0.46,"0.14,0.13,0.11,0.10",4
CRS Reporting Question,"Tax Reporting Standard, Cross-Border Tax, International Tax Compliance, Tax Information Exchange",0.64,"0.17,0.16,0.14,0.12",4
FATCA Compliance Issue,"US Tax Compliance, Foreign Account Reporting, American Tax Law, FATCA Filing Issue",0.57,"0.18,0.16,0.15,0.14",4
Tax Withholding Problem,"Tax Deduction Problem, Withholding Tax Issue, Tax Rate Question, Tax Calculation Error",0.69,"0.22,0.20,0.16,0.15",4
Interest Rate Query,"Interest Calculation Question, Rate Application Issue, Interest Payment Problem, Rate Structure Query",0.48,"0.12,0.11,0.10,0.10",4
Deposit Service Issue,"Savings Account Issue, Deposit Service Problem, Account Balance Error, Deposit Product Question",0.63,"0.17,0.16,0.13,0.12",4
Certificate Deposit Question,"Fixed Deposit Question, Time Deposit Issue, Term Investment Problem, Certificate Deposit Error",0.56,"0.18,0.17,0.15,0.14",4
Commercial Paper Issue,"Short-Term Financing Issue, Commercial Paper Problem, Money Market Issue, Corporate Note Problem",0.72,"0.21,0.20,0.17,0.16",4
Bond Trading Problem,"Corporate Bond Issue, Bond Trading Problem, Fixed Income Error, Debt Security Problem",0.44,"0.13,0.12,0.11,0.10",4
Derivatives Question Alert,"Financial Derivative Question, Hedging Product Issue, Risk Management Tool, Derivative Trading Problem",0.58,"0.18,0.16,0.14,0.13",4
Custody Service Problem,"Securities Custody Problem, Asset Safekeeping Issue, Investment Custody Error, Securities Holding Problem",0.65,"0.17,0.16,0.13,0.12",4
Asset Management Issue,"Investment Fund Issue, Mutual Fund Problem, Collective Investment Error, Fund Management Problem",0.51,"0.20,0.18,0.16,0.15",4
Fund Transfer Problem,"Money Transfer Problem, Remittance Service Issue, International Transfer Error, Cross-Border Payment Problem",0.67,"0.13,0.12,0.11,0.10",4
Wire Transfer Delay,"Bank Wire Problem, Wire Transfer Issue, Electronic Transfer Error, SWIFT Payment Problem",0.46,"0.18,0.17,0.14,0.13",4
ACH Processing Error,"Automated Clearing House, Electronic Payment Problem, Bulk Payment Issue, Direct Deposit Error",0.62,"0.17,0.15,0.13,0.12",4
Check Clearing Issue,"Check Processing Problem, Cheque Clearing Issue, Paper Payment Error, Check Deposit Problem",0.57,"0.21,0.19,0.16,0.16",4
Merchant Service Problem,"Business Payment Service, Merchant Account Issue, Payment Processing Problem, Commercial Payment Error",0.74,"0.13,0.12,0.10,0.09",4
POS Terminal Issue,"Point-of-Sale Problem, Terminal Issue Alert, Payment Device Error, Card Reader Problem",0.43,"0.17,0.16,0.13,0.12",4
ATM Network Problem,"Cash Machine Problem, ATM Service Issue, Cash Withdrawal Error, Automated Teller Problem",0.69,"0.19,0.17,0.15,0.14",4
Branch Service Complaint,"Physical Location Issue, Branch Office Problem, In-Person Service Error, Local Branch Question",0.52,"0.15,0.14,0.11,0.11",4
Online Banking Problem,"Digital Banking Problem, Internet Banking Issue, Online Service Error, Web Banking Problem",0.66,"0.20,0.18,0.15,0.14",4
Phone Banking Issue,"Telephone Banking Issue, Call Center Problem, Phone Service Error, Voice Banking Problem",0.47,"0.13,0.12,0.11,0.10",4
Customer Service Escalation,"Service Escalation Issue, Customer Care Problem, Support Request Alert, Resolution Process Error",0.71,"0.18,0.16,0.14,0.14",4
Complaint Resolution Request,"Customer Complaint Resolution, Dispute Process Issue, Problem Resolution Error, Grievance Process Problem",0.44,"0.16,0.15,0.13,0.13",4
Service Level Breach,"Service Agreement Violation, Performance Standard Issue, Service Quality Problem, Contract Breach Alert",0.59,"0.21,0.20,0.17,0.16",4
Quality Assurance Issue,"Process Quality Issue, Service Standard Problem, Quality Control Error, Performance Monitoring Alert",0.63,"0.12,0.11,0.10,0.10",4
Process Improvement Request,"Business Process Enhancement, Operational Improvement Request, Workflow Optimization Need, Efficiency Improvement Alert",0.56,"0.20,0.18,0.16,0.15",4
Training Need Alert,"Employee Training Issue, Staff Development Need, Skill Enhancement Request, Competency Training Alert",0.68,"0.15,0.14,0.12,0.11",4
Staff Performance Issue,"Employee Performance Problem, Staff Productivity Issue, Personnel Management Error, Workforce Performance Alert",0.48,"0.19,0.17,0.15,0.15",4
Customer Feedback Report,"Client Satisfaction Issue, Customer Experience Problem, Service Feedback Alert, Customer Opinion Report",0.65,"0.14,0.13,0.10,0.10",4
Satisfaction Survey Result,"Survey Response Analysis, Customer Feedback Review, Satisfaction Metrics Update, Client Survey Results",0.51,"0.21,0.19,0.16,0.15",4
Vendor Management,"Contract Approval Request, SLA Breach Notification, Payment Authorization Need, Performance Escalation Alert, Service Provider Issue",0.73,"0.13,0.12,0.10,0.09",5
IT Access Problem,"System Access Failure, Permission Escalation Request, Security Clearance Issue, Emergency Access Need, User Privilege Problem",0.71,"0.17,0.16,0.13,0.13",5
Internal Audit,"Audit Finding Response, Compliance Breach Notification, Investigation Support Request, Committee Escalation Alert",0.64,"0.18,0.16,0.15,0.14",4
Compliance Issues,"Regulatory Violation Alert, Policy Breach Notification, Review Request Urgent, Examination Support Need",0.59,"0.16,0.15,0.13,0.12",4
Approval Required,"Process Exception Request, Workflow Override Need, Emergency Authorization Required, Client Onboarding Exception",0.61,"0.20,0.18,0.15,0.15",4
Salary Leave Issues,"HR Escalation Alert, Payroll Discrepancy Report, Leave Approval Emergency, Performance Management Alert, Employee Issue Critical",0.67,"0.14,0.13,0.11,0.10",5
IT Marketing Unresolved,"Campaign System Failure, Digital Platform Issue, Customer Communication Problem, Brand Compliance Alert, Marketing System Error",0.52,"0.19,0.17,0.15,0.14",5
User Access Approval,"New User Provisioning, Role Change Request, System Privilege Update, Emergency Access Grant, Account Setup Urgent",0.74,"0.15,0.14,0.12,0.11",5
Process Exception,"Workflow Deviation Request, Policy Override Approval, Emergency Procedure Activation, Compliance Exemption Request, Process Rule Exception",0.68,"0.22,0.20,0.16,0.15",5
Executive Decision Required,"Senior Management Approval, Strategic Initiative Authorization, Budget Exception Request, Crisis Response Decision, Executive Approval Urgent",0.63,"0.16,0.15,0.14,0.14,0.14",5
Risk Management Alert,"Operational Risk Incident, Regulatory Risk Notification, Credit Risk Escalation, Market Risk Warning, Risk Event Alert",0.69,"0.15,0.14,0.14,0.14,0.14",5
Quality Assurance Breach,"Service Standard Violation, Audit Failure Notification, Compliance Gap Alert, Process Breakdown Report, Quality Control Breach",0.56,"0.18,0.16,0.15,0.15",5
Technology Emergency,"System Outage Notification, Security Incident Alert, Data Breach Warning, Infrastructure Failure Report, Technology Crisis Alert",0.72,"0.17,0.16,0.13,0.13",5
Legal Escalation,"Litigation Notification Alert, Regulatory Investigation Support, Contract Dispute Escalation, Compliance Violation Response, Legal Action Required",0.58,"0.17,0.16,0.14,0.14",5
Performance Management,"Staff Disciplinary Action, Training Failure Alert, Productivity Concern Escalation, Skill Gap Emergency, Personnel Performance Crisis",0.65,"0.19,0.18,0.15,0.15",5
,,,"0.15,0.14,0.12,0.11",0
,,,"0.21,0.20,0.17,0.16",0
,,,"0.19,0.18,0.14,0.12",0
,,,"0.18,0.16,0.15,0.14",0
,,,"0.20,0.18,0.16,0.15",0
,,,"0.16,0.15,0.13,0.12",0
,,,"0.21,0.19,0.16,0.16",0
,,,"0.17,0.16,0.13,0.12",0
,,,"0.19,0.17,0.15,0.14",0
