Dominant_topic,Subtopics,Dominant_topic_weightage,Subtopics_weightage
Card Services Excellent,"Card Payments Smooth, Debit Processing Fast, Credit Transactions Excellent, Payment Cards Reliable",0.0067,"0.28,0.24,0.23,0.25"
Transaction Declined Frustration,"Card Authorization Failed, Payment Declined Repeatedly, Transaction Blocked Unexpectedly, Processing Error Occurred",0.0112,"0.26,0.25,0.24,0.25"
Standing Order Success,"Automated Payments Working, Recurring Transfers Smooth, Scheduled Processing Reliable, Regular Payments Successful",0.0087,"0.24,0.23,0.26,0.27"
Order Processing Failed,"Standing Order Failed, Recurring Payment Stopped, Automated Transfer Error, Scheduled Payment Missing",0.0101,"0.22,0.19,0.21,0.18,0.20"
Bulk Payment Efficiency,"Corporate Payments Smooth, Business Transfer Efficient, Enterprise Processing Fast, Bulk Transaction Success",0.0134,"0.28,0.24,0.23,0.25"
Mass Payment Errors,"Mass Payment Failed, Corporate Transfer Error, Business Processing Slow, Enterprise System Down",0.0156,"0.26,0.25,0.24,0.25"
Mobile Security Robust,"Device Security Strong, Mobile Protection Excellent, App Encryption Robust, Digital Safety Assured",0.0078,"0.24,0.23,0.26,0.27"
App Login Problems,"Login Authentication Failed, Password Access Blocked, Security Verification Error, Identity Check Failed",0.0098,"0.22,0.19,0.21,0.18,0.20"
Website Performance Issues,"Site Performance Slow, Page Loading Delayed, Browser Compatibility Issues, Web Interface Problems",0.0123,"0.28,0.24,0.23,0.25"
Platform Crash Reports,"Application Crashed Repeatedly, System Failure Reported, Software Malfunction Experienced, Platform Instability Issues",0.0089,"0.26,0.25,0.24,0.25"
Online Banking Excellence,"Digital Banking Excellent, Online Services Superior, Web Platform Outstanding, Internet Banking Smooth",0.0112,"0.24,0.23,0.26,0.27"
Digital Platform Glitches,"Technical Glitches Reported, System Bugs Found, Software Issues Experienced, Platform Problems Encountered",0.0087,"0.22,0.19,0.21,0.18,0.20"
Open Banking Implementation,"API Integration Smooth, Developer Tools Excellent, Technical Implementation Success, System Connectivity Strong",0.0134,"0.28,0.24,0.23,0.25"
PSD2 Compliance Smooth,"Standards Compliance Excellent, Regulatory Implementation Smooth, Legal Requirements Met, Industry Standards Followed",0.0098,"0.26,0.25,0.24,0.25"
API Services Outstanding,"Developer Interface Excellent, Programming Tools Superior, Technical Documentation Clear, Integration Support Strong",0.0123,"0.24,0.23,0.26,0.27"
Third Party Integration,"External System Connectivity, Third Party Integration, API Gateway Issues, Service Communication Problems",0.0089,"0.22,0.19,0.21,0.18,0.20"
Feature Enhancement Needed,"User Interface Improvement, Feature Addition Requested, System Enhancement Suggested, Platform Development Needed",0.0067,"0.28,0.24,0.23,0.25"
System Navigation Help,"Navigation Assistance Required, User Guide Needed, Help Documentation Requested, System Tutorial Required",0.0078,"0.26,0.25,0.24,0.25"
Password Reset Guidance,"Account Recovery Help, Credential Reset Assistance, Access Restoration Support, Login Problem Resolution",0.0098,"0.24,0.23,0.26,0.27"
Authentication Errors Reported,"Security Login Failed, Access Verification Error, Authentication System Problem, Identity Confirmation Issues",0.0123,"0.22,0.19,0.21,0.18,0.20"
Multi Factor Problems,"Two Factor Authentication, Security Code Problems, Verification Token Issues, Multi Step Login",0.0089,"0.28,0.24,0.23,0.25"
Profile Access Denied,"User Account Blocked, Profile Access Restricted, Login Credentials Denied, Account Permissions Limited",0.0156,"0.26,0.25,0.24,0.25"
Letter Credit Processed,"Trade Documentation Complete, Export Process Smooth, International Commerce Success, Business Transaction Approved",0.0134,"0.24,0.23,0.26,0.27"
Documentary Collection Efficient,"Collection Process Smooth, Trade Document Handling, Commercial Paper Processing, International Settlement Success",0.0098,"0.22,0.19,0.21,0.18,0.20"
Bank Guarantee Issued,"Financial Guarantee Provided, Credit Assurance Given, Bank Commitment Issued, Security Document Processed",0.0123,"0.28,0.24,0.23,0.25"
Export Finance Approved,"Export Funding Approved, International Trade Credit, Foreign Business Financing, Global Commerce Support",0.0089,"0.26,0.25,0.24,0.25"
Trade Documentation Smooth,"International Paperwork Smooth, Cross Border Documentation, Trade Document Processing, Commercial Paper Handling",0.0078,"0.24,0.23,0.26,0.27"
Import Processing Delays,"Import Clearance Delayed, International Documentation Issues, Trade Paper Problems, Commercial Processing Slow",0.0145,"0.22,0.19,0.21,0.18,0.20"
Cash Management Superior,"Treasury Management Excellent, Corporate Cash Handling, Business Liquidity Management, Financial Resource Control",0.0098,"0.28,0.24,0.23,0.25"
FX Trading Smooth,"Foreign Exchange Trading, Currency Market Access, International Rate Management, Multi Currency Operations",0.0123,"0.26,0.25,0.24,0.25"
Investment Services Outstanding,"Portfolio Management Services, Investment Advisory Excellent, Wealth Management Superior, Financial Planning Support",0.0089,"0.24,0.23,0.26,0.27"
Liquidity Management Excellent,"Cash Flow Management, Working Capital Optimization, Business Liquidity Control, Corporate Fund Management",0.0134,"0.22,0.19,0.21,0.18,0.20"
Risk Management Tools,"Financial Risk Assessment, Market Risk Analysis, Credit Risk Management, Operational Risk Control",0.0078,"0.28,0.24,0.23,0.25"
Treasury Operations Smooth,"Corporate Treasury Operations, Business Financial Management, Enterprise Cash Handling, Institutional Banking Services",0.0098,"0.26,0.25,0.24,0.25"
Account Manager Responsive,"Personal Banking Representative, Dedicated Account Officer, Client Relationship Manager, Customer Service Specialist",0.0123,"0.24,0.23,0.26,0.27"
Corporate Service Exceptional,"Business Banking Excellence, Corporate Client Services, Enterprise Account Management, Institutional Customer Support",0.0089,"0.22,0.19,0.21,0.18,0.20"
Dedicated Support Appreciated,"Personalized Customer Care, Individual Service Attention, Tailored Banking Solutions, Customized Financial Services",0.0156,"0.28,0.24,0.23,0.25"
Personalized Banking Excellence,"Premium Banking Experience, VIP Customer Treatment, Exclusive Service Delivery, High Value Client",0.0134,"0.26,0.25,0.24,0.25"
Service Quality Poor,"Customer Support Poor, Service Representatives Inadequate, Client Assistance Lacking, Help Desk Problems",0.0098,"0.24,0.23,0.26,0.27"
Response Time Inadequate,"Call Response Slow, Customer Wait Extended, Service Delivery Delayed, Support Availability Limited",0.0078,"0.22,0.19,0.21,0.18,0.20"
Escalation Process Unclear,"Problem Resolution Unclear, Issue Escalation Confusing, Customer Complaint Process, Service Recovery Procedures",0.0123,"0.28,0.24,0.23,0.25"
Manager Unavailable Complaints,"Account Officer Unavailable, Relationship Manager Missing, Client Representative Absent, Customer Advisor Busy",0.0089,"0.26,0.25,0.24,0.25"
High Transaction Fees,"Banking Fees Expensive, Service Charges High, Transaction Costs Excessive, Account Maintenance Expensive",0.0145,"0.24,0.23,0.26,0.27"
Unexpected Charges Discovered,"Hidden Charges Applied, Surprise Fees Discovered, Undisclosed Costs Found, Additional Expenses Unexpected",0.0098,"0.22,0.19,0.21,0.18,0.20"
Pricing Transparency Lacking,"Fee Information Unclear, Cost Structure Confusing, Pricing Details Missing, Charge Explanation Insufficient",0.0134,"0.28,0.24,0.23,0.25"
Fee Increase Complaints,"Service Cost Increased, Fee Structure Changed, Pricing Model Updated, Charge Schedule Modified",0.0123,"0.26,0.25,0.24,0.25"
Billing Error Reports,"Invoice Errors Found, Billing Mistakes Discovered, Account Charges Wrong, Statement Discrepancies Reported",0.0089,"0.24,0.23,0.26,0.27"
Cost Structure Criticism,"Expensive Service Structure, High Cost Banking, Premium Pricing Model, Costly Account Management",0.0078,"0.22,0.19,0.21,0.18,0.20"
Core Banking Down,"Main System Offline, Core Processing Unavailable, Central Banking Down, Primary Platform Stopped",0.0098,"0.28,0.24,0.23,0.25"
Network Connectivity Lost,"Payment Infrastructure Failed, Transaction Network Down, Processing System Offline, Transfer Platform Unavailable",0.0134,"0.26,0.25,0.24,0.25"
Service Interruption Experienced,"Internet Connection Failed, System Access Lost, Online Service Disrupted, Network Communication Interrupted",0.0123,"0.24,0.23,0.26,0.27"
Maintenance Inconvenience Reported,"Banking Interruption Experienced, Service Pause Reported, System Break Encountered, Platform Halt Noticed",0.0089,"0.22,0.19,0.21,0.18,0.20"
System Availability Issues,"Technical Maintenance Scheduled, System Update Required, Platform Upgrade Needed, Infrastructure Improvement Planned",0.0078,"0.28,0.24,0.23,0.25"
Platform Downtime Frustration,"Service Unavailable Temporarily, System Downtime Extended, Platform Offline Long, Network Interruption Prolonged",0.0098,"0.26,0.25,0.24,0.25"
KYC Documentation Easy,"Customer Identity Verification, Know Your Customer, Client Due Diligence, Account Holder Verification",0.0134,"0.24,0.23,0.26,0.27"
AML Processes Smooth,"Anti Money Laundering, Financial Crime Prevention, Suspicious Activity Monitoring, Compliance Risk Management",0.0123,"0.22,0.19,0.21,0.18,0.20"
Verification Process Lengthy,"Document Verification Extended, Identity Confirmation Slow, Customer Screening Lengthy, Account Approval Delayed",0.0089,"0.28,0.24,0.23,0.25"
Compliance Checks Intrusive,"Regulatory Oversight Intrusive, Compliance Monitoring Excessive, Legal Requirements Burdensome, Audit Process Intensive",0.0078,"0.26,0.25,0.24,0.25"
Documentation Excessive Requirements,"Documentation Requirements Excessive, Paper Submission Heavy, Verification Process Complex, Compliance Paperwork Extensive",0.0098,"0.24,0.23,0.26,0.27"
Regulatory Reporting Burdensome,"Regulatory Reporting Heavy, Compliance Documentation Extensive, Legal Filing Requirements, Audit Trail Maintenance",0.0134,"0.22,0.19,0.21,0.18,0.20"
Fraud Alert Confusion,"Security Alert Received, Fraud Warning Issued, Suspicious Activity Detected, Account Monitoring Triggered",0.0123,"0.28,0.24,0.23,0.25"
Unauthorized Access Fears,"Account Breach Suspected, Unauthorized Login Detected, Security Violation Reported, Identity Theft Concerns",0.0089,"0.26,0.25,0.24,0.25"
Cybersecurity Worries Expressed,"Digital Security Concerns, Online Banking Safety, Cyber Protection Worries, Internet Security Issues",0.0078,"0.24,0.23,0.26,0.27"
Data Breach Concerns,"Personal Information Security, Customer Data Protection, Private Details Safety, Account Information Security",0.0098,"0.22,0.19,0.21,0.18,0.20"
Identity Verification Issues,"User Authentication Problems, Identity Confirmation Issues, Account Verification Difficulties, Customer Recognition Errors",0.0134,"0.28,0.24,0.23,0.25"
Security Protocol Questions,"Security Process Questions, Protection Procedure Inquiries, Safety Protocol Concerns, Risk Management Questions",0.0123,"0.26,0.25,0.24,0.25"
Multi Currency Problems,"International Currency Issues, Foreign Exchange Problems, Multi Currency Complications, Cross Border Money",0.0089,"0.24,0.23,0.26,0.27"
Exchange Rate Disputes,"Exchange Rate Disagreements, Currency Conversion Disputes, Foreign Exchange Conflicts, International Rate Issues",0.0078,"0.22,0.19,0.21,0.18,0.20"
Correspondent Bank Delays,"International Bank Delays, Foreign Correspondent Issues, Cross Border Processing, International Network Problems",0.0098,"0.28,0.24,0.23,0.25"
Regional Service Variations,"Country Service Differences, Regional Banking Variations, Local Service Inconsistencies, Geographic Banking Disparities",0.0134,"0.26,0.25,0.24,0.25"
Cross Border Complications,"Cross Border Complications, International Service Issues, Multi Country Problems, Global Banking Difficulties",0.0123,"0.24,0.23,0.26,0.27"
International Banking Issues,"Foreign Banking Challenges, International Service Problems, Cross Border Complications, Global Transaction Issues",0.0089,"0.22,0.19,0.21,0.18,0.20"
New Account Opening,"Business Account Setup, Corporate Banking Initiation, Commercial Account Creation, Enterprise Banking Start",0.0078,"0.28,0.24,0.23,0.25"
Signatory Update Needed,"Account Authority Updates, Signatory List Changes, Authorized User Modifications, Account Access Updates",0.0098,"0.26,0.25,0.24,0.25"
Mandate Change Required,"Banking Authority Changes, Account Control Updates, Signature Authority Modifications, Access Permission Changes",0.0134,"0.24,0.23,0.26,0.27"
Authorization Matrix Updates,"Account Permissions Updates, User Authority Matrix, Access Control Changes, Banking Authorization Modifications",0.0123,"0.22,0.19,0.21,0.18,0.20"
Corporate Setup Questions,"Business Banking Setup, Corporate Account Questions, Commercial Banking Inquiries, Enterprise Service Questions",0.0089,"0.28,0.24,0.23,0.25"
Account Configuration Assistance,"Account Setup Assistance, Banking Configuration Help, Service Initialization Support, Account Creation Guidance",0.0078,"0.26,0.25,0.24,0.25"
Application Launch Failed,"App Launch Problems, Mobile Application Startup, Software Opening Issues, Program Initialization Failure",0.0098,"0.24,0.23,0.26,0.27"
Login Screen Frozen,"Mobile Screen Issues, Display Problems Reported, User Interface Frozen, Application Interface Stuck",0.0134,"0.22,0.19,0.21,0.18,0.20"
Transaction Processing Stuck,"Payment Processing Halted, Transaction Engine Stopped, Financial Processing Frozen, Money Transfer Stuck",0.0123,"0.28,0.24,0.23,0.25"
Balance Update Delayed,"Account Information Delayed, Balance Update Slow, Financial Data Refresh, Account Status Update",0.0089,"0.26,0.25,0.24,0.25"
Feature Malfunction Reports,"Mobile App Problems, Software Malfunction Reports, Application Bug Issues, Program Error Messages",0.0078,"0.24,0.23,0.26,0.27"
Software Bug Complaints,"Mobile Software Complaints, Application Issues Reported, Program Problem Feedback, System Error Comments",0.0098,"0.22,0.19,0.21,0.18,0.20"
Process Clarification Needed,"Business Process Questions, Service Procedure Inquiries, Operational Method Questions, System Process Help",0.0134,"0.28,0.24,0.23,0.25"
Documentation Requirements Asked,"Account Documentation Needed, Required Papers Asked, Necessary Documents Requested, Account Setup Papers",0.0123,"0.26,0.25,0.24,0.25"
Service Availability Questions,"Banking Service Questions, Account Feature Inquiries, Service Availability Asked, Banking Option Questions",0.0089,"0.24,0.23,0.26,0.27"
Feature Explanation Requested,"Service Feature Questions, Banking Function Inquiries, Account Capability Questions, System Feature Help",0.0078,"0.22,0.19,0.21,0.18,0.20"
Information Inquiry Made,"Customer Information Request, General Banking Questions, Service Inquiry Made, Account Information Needed",0.0098,"0.28,0.24,0.23,0.25"
General Support Needed,"Customer Service Request, Banking Assistance Needed, Account Help Required, General Support Requested",0.0134,"0.26,0.25,0.24,0.25"
Problem Initially Frustrating,"Initial Problem Difficult, Early Issues Challenging, Starting Problems Faced, Beginning Complications Experienced",0.0123,"0.24,0.23,0.26,0.27"
Resolution Eventually Satisfactory,"Final Solution Acceptable, End Result Satisfactory, Ultimate Resolution Good, Final Outcome Positive",0.0089,"0.22,0.19,0.21,0.18,0.20"
Improved Service Acknowledged,"Service Quality Improved, Banking Experience Better, Customer Support Enhanced, Account Management Upgraded",0.0078,"0.28,0.24,0.23,0.25"
Compensation Appreciated Generally,"Customer Compensation Fair, Issue Resolution Reward, Problem Settlement Payment, Service Recovery Compensation",0.0098,"0.26,0.25,0.24,0.25"
Follow Up Satisfactory,"Customer Follow Up, Service Check Back, Account Monitoring Continued, Client Relationship Maintenance",0.0134,"0.24,0.23,0.26,0.27"
Mixed Experience Reported,"Experience Report Mixed, Service Feedback Balanced, Customer Review Varied, Account Experience Combined",0.0123,"0.22,0.19,0.21,0.18,0.20"
Better Than Competitors,"Competitor Comparison Favorable, Other Bank Inferior, Market Position Superior, Industry Standing Better",0.0089,"0.28,0.24,0.23,0.25"
Improvement Over Previous,"Service Development Progress, Banking Improvement Noted, Customer Experience Enhanced, Account Management Better",0.0078,"0.26,0.25,0.24,0.25"
Mixed Service Quality,"Service Experience Varied, Banking Quality Inconsistent, Customer Support Mixed, Account Management Uneven",0.0098,"0.24,0.23,0.26,0.27"
Inconsistent Experience Reported,"Customer Experience Inconsistent, Service Quality Variable, Banking Support Irregular, Account Management Fluctuating",0.0134,"0.22,0.19,0.21,0.18,0.20"
Partial Satisfaction Expressed,"Customer Satisfaction Partial, Service Experience Mixed, Banking Feedback Balanced, Account Satisfaction Moderate",0.0123,"0.28,0.24,0.23,0.25"
Comparative Banking Feedback,"Banking Market Comparison, Financial Service Assessment, Competitor Analysis Feedback, Industry Service Review",0.0089,"0.26,0.25,0.24,0.25"
Some Functions Excellent,"Banking Features Excellent, Some Account Functions, Service Quality High, Account Management Strong",0.0078,"0.24,0.23,0.26,0.27"
Others Need Improvement,"Service Areas Improvement, Banking Functions Enhancement, Account Features Development, System Capability Upgrade",0.0098,"0.22,0.19,0.21,0.18,0.20"
Partial Functionality Working,"Account Functions Partial, Banking Features Limited, Service Capabilities Restricted, System Functions Incomplete",0.0134,"0.28,0.24,0.23,0.25"
Mixed User Experience,"Customer Experience Mixed, Banking Service Variable, Account Management Inconsistent, Service Quality Uneven",0.0123,"0.26,0.25,0.24,0.25"
Development Suggestions Made,"Service Development Ideas, Banking Improvement Suggestions, Account Enhancement Recommendations, System Upgrade Proposals",0.0089,"0.24,0.23,0.26,0.27"
Feature Feedback Mixed,"Service Feature Feedback, Banking Function Comments, Account Capability Reviews, System Feature Assessment",0.0078,"0.22,0.19,0.21,0.18,0.20"
Holiday Period Issues,"Seasonal Banking Issues, Holiday Service Problems, Vacation Period Difficulties, Festive Season Complications",0.0098,"0.28,0.24,0.23,0.25"
Year End Processing,"Business Year Closing, Annual Processing Period, Financial Year End, Yearly Account Reconciliation",0.0134,"0.26,0.25,0.24,0.25"
Peak Time Difficulties,"High Traffic Problems, Busy Period Issues, Peak Usage Difficulties, Maximum Load Problems",0.0123,"0.24,0.23,0.26,0.27"
Off Peak Better,"Quiet Period Better, Low Traffic Smooth, Minimal Usage Excellent, Off Peak Superior",0.0089,"0.22,0.19,0.21,0.18,0.20"
Periodic Performance Changes,"Service Performance Changes, Banking Quality Fluctuation, Account Management Variation, Customer Support Cycles",0.0078,"0.28,0.24,0.23,0.25"
Seasonal Variation Reports,"Time Based Service, Seasonal Banking Performance, Periodic Service Quality, Cyclical Account Management",0.0098,"0.26,0.25,0.24,0.25"
Some Countries Excellent,"Regional Banking Excellence, Country Service Superior, Local Banking Outstanding, Geographic Service Strong",0.0134,"0.24,0.23,0.26,0.27"
Others Need Improvement,"Geographic Service Development, Regional Banking Enhancement, Country Service Improvement, Local Service Upgrade",0.0123,"0.22,0.19,0.21,0.18,0.20"
Cross Border Inconsistencies,"International Service Inconsistency, Cross Border Banking Variable, Multi Country Service Differences, Global Banking Inconsistent",0.0089,"0.26,0.25,0.24,0.25"
Multilingual Support Varies,"Language Support Variable, Multi Lingual Service, International Communication Support, Foreign Language Assistance",0.0078,"0.26,0.25,0.24,0.25"
Local Service Quality,"Regional Service Quality, Geographic Banking Standards, Country Service Levels, Local Banking Performance",0.0098,"0.26,0.25,0.24,0.25"
Regional Difference Reports,"Geographic Banking Differences, Regional Service Variation, Country Banking Inconsistencies, Local Service Disparities",0.0134,"0.26,0.25,0.24,0.25"
Issue Resolved Quickly,"Customer Problem Resolution, Issue Settlement Quick, Service Recovery Fast, Problem Fixing Rapid",0.0123,"0.26,0.25,0.24,0.25"
Management Responded Personally,"Senior Management Response, Executive Level Attention, Leadership Personal Involvement, Management Direct Communication",0.0089,"0.26,0.25,0.24,0.25"
Service Improvement Acknowledged,"Banking Service Enhancement, Customer Experience Improvement, Account Management Development, Service Quality Progress",0.0078,"0.26,0.25,0.24,0.25"
Public Recovery Successful,"Public Issue Resolution, Community Service Recovery, Customer Relationship Restoration, Brand Image Recovery",0.0056,"0.26,0.25,0.24,0.25"
Compensation Provided Fairly,"Fair Customer Compensation, Reasonable Issue Settlement, Appropriate Problem Resolution, Just Service Recovery",0.0134,"0.26,0.25,0.24,0.25"
Brand Reputation Restored,"Company Reputation Recovery, Brand Image Restoration, Public Trust Rebuilding, Corporate Credibility Repair",0.0123,"0.26,0.25,0.24,0.25"
System Outage Affecting,"System Wide Problems, Network Outage Affecting, Platform Issues Impacting, Infrastructure Problems Causing",0.0089,"0.26,0.25,0.24,0.25"
Payment Processing Failed,"Transaction System Failed, Payment Processing Broken, Financial Transaction Error, Money Transfer Problems",0.0078,"0.26,0.25,0.24,0.25"
Call Center Overwhelmed,"Customer Service Overload, Support System Overwhelmed, Help Desk Capacity, Service Infrastructure Strained",0.0098,"0.26,0.25,0.24,0.25"
Service Restoration Delayed,"System Recovery Delayed, Service Restoration Slow, Platform Repair Extended, Infrastructure Fix Prolonged",0.0134,"0.26,0.25,0.24,0.25"
Viral Complaint Spreading,"Social Media Complaint, Public Issue Escalation, Viral Customer Problem, Community Issue Spreading",0.0123,"0.28,0.24,0.23,0.25"
Public Issue Escalated,"Customer Issue Publicity, Service Problem Exposure, Banking Problem Attention, Public Service Complaint",0.0089,"0.26,0.25,0.24,0.25"
Account Management Satisfactory,"Business Account Management, Corporate Banking Services, Commercial Account Handling, Enterprise Banking Support",0.0078,"0.24,0.23,0.26,0.27"
Payment Processing Smooth,"Transaction Processing Reliable, Payment System Stable, Financial Processing Smooth, Money Transfer Consistent",0.0098,"0.22,0.19,0.21,0.18,0.20"
Mobile App Functional,"Banking Application Functional, Mobile Platform Working, Digital Services Operational, Online Banking Reliable",0.0134,"0.28,0.24,0.23,0.25"
Call Support Adequate,"Customer Support Adequate, Service Quality Acceptable, Account Management Sufficient, Banking Assistance Reasonable",0.0123,"0.26,0.25,0.24,0.25"
Routine Service Feedback,"Standard Banking Service, Regular Account Management, Typical Customer Support, Normal Banking Operations",0.0089,"0.24,0.23,0.26,0.27"
Standard Operation Smooth,"Regular Banking Operations, Standard Service Delivery, Typical Account Management, Normal Customer Support",0.0123,"0.22,0.19,0.21,0.18,0.20"
