keyphrase,cluster_id,document_id
fraud system update,0,688b156c0110d1205b491a52
branch audit preparation,1,688b15ec0110d1205b491a57
fraud detection update,7,688b15ec0110d1205b491a5b
fraud detection update,7,688b16730110d1205b491a60
fraud system upgrade,15,688b16730110d1205b491a61
fraud detection update,7,688b16730110d1205b491a66
phishe attack response,25,688b16f50110d1205b491a6a
fraud system update,0,688b177e0110d1205b491a79
phishe attack mitigation,24,688b177e0110d1205b491a7a
fraud system upgrade,15,688b177e0110d1205b491a7d
branch transaction audit,14,688b1766aa83e8e75ab7642d
branch transaction audit,14,688b1766aa83e8e75ab7642f
branch transaction audit,14,688b16730110d1205b491a64
phishe wire transfer,24,688b16730110d1205b491a68
fraudulent wire transfer,8,688b16f50110d1205b491a6b
fraudulent wire transfer,8,688b16f50110d1205b491a6d
fraudulent wire transfer,8,688b16f50110d1205b491a70
fraud system update,0,688b16f50110d1205b491a73
branch audit preparation,1,688b177e0110d1205b491a74
branch audit preparation,1,688b177e0110d1205b491a75
branch transaction audit,14,688b177e0110d1205b491a76
aml audit preparation,2,688b177e0110d1205b491a78
branch audit notification,13,688b1766aa83e8e75ab7642c
branch audit preparation,1,688b1766aa83e8e75ab76431
fraud detection update,7,688b16730110d1205b491a62
branch audit notification,13,688b16730110d1205b491a63
branch audit notification,13,688b16730110d1205b491a65
branch transaction audit,14,688b16f50110d1205b491a6e
fraud detection update,7,688b16f50110d1205b491a71
fraud system update,0,688b16f50110d1205b491a72
fraudulent wire transfer,8,688b177e0110d1205b491a77
branch audit compliance,1,688b1766aa83e8e75ab7642e
branch transaction audit,14,688b1766aa83e8e75ab76430
branch audit preparation,1,688b1766aa83e8e75ab76432
branch audit preparation,1,688b16730110d1205b491a67
vigilance system update,26,688b16730110d1205b491a69
branch transaction audit,14,688b16f50110d1205b491a6c
branch audit preparation,1,688b16f50110d1205b491a6f
fraud system update,0,688b177e0110d1205b491a7b
fraud detection system,33,688b177e0110d1205b491a7c
branch audit preparation,1,688b1766aa83e8e75ab76433
branch audit preparation,1,688b1766aa83e8e75ab76435
fraudulent wire transfer,8,688b18000110d1205b491a81
fraudulent wire transfer,8,688b18000110d1205b491a86
fraudulent ach activity,28,688b17e6aa83e8e75ab76439
branch audit review,1,688b17e6aa83e8e75ab7643e
branch transaction audit,14,688b1873aa83e8e75ab76441
branch audit preparation,1,688b1873aa83e8e75ab76444
branch transaction audit,14,688b18000110d1205b491a80
fraudulent wire transfer,8,688b18000110d1205b491a85
branch audit preparation,1,688b17e6aa83e8e75ab7643b
branch audit preparation,1,688b17e6aa83e8e75ab7643c
fraud system update,0,688b18830110d1205b491a88
fraud system update,0,688b18830110d1205b491a8d
fraud system upgrade,15,688b18830110d1205b491a91
fraudulent wire transfer,8,688b1873aa83e8e75ab76440
branch audit preparation,1,688b1873aa83e8e75ab76442
branch transaction audit,14,688b1873aa83e8e75ab76443
fraudulent wire transfer,8,688b18000110d1205b491a7e
fraudulent wire transfer,8,688b18000110d1205b491a7f
branch transaction audit,14,688b18000110d1205b491a84
branch transaction audit,14,688b17e6aa83e8e75ab76437
branch audit preparation,1,688b17e6aa83e8e75ab7643d
fraud system upgrade,15,688b18830110d1205b491a89
sentinel system update,29,688b18830110d1205b491a8b
aml rule revision,4,688b18830110d1205b491a8c
fraudulent wire transfer,8,688b18830110d1205b491a8e
fraudulent wire transfer,8,688b18830110d1205b491a8f
branch audit preparation,1,688b18830110d1205b491a90
branch audit preparation,1,688b1873aa83e8e75ab76445
branch transaction audit,14,688b1766aa83e8e75ab76434
fraud system update,0,688b18000110d1205b491a82
fraud detection update,7,688b18000110d1205b491a83
branch transaction audit,14,688b18000110d1205b491a87
branch audit notification,13,688b17e6aa83e8e75ab76436
fraudulent wire transfer,8,688b17e6aa83e8e75ab76438
branch audit preparation,1,688b17e6aa83e8e75ab7643a
branch transaction audit,14,688b17e6aa83e8e75ab7643f
sentinel system launch,29,688b18830110d1205b491a8a
fraudulent ach activity,28,688b1873aa83e8e75ab76447
fraudulent ach transfer,27,688b1873aa83e8e75ab76448
branch audit preparation,1,688b190a0110d1205b491a92
fraud detection update,7,688b190a0110d1205b491a93
branch audit preparation,1,688b190a0110d1205b491a94
branch audit preparation,1,688b190a0110d1205b491a9a
branch audit review,1,688b1908aa83e8e75ab7644f
branch transaction audit,14,688b199daa83e8e75ab76455
branch audit preparation,1,688b1873aa83e8e75ab76446
fraud system upgrade,15,688b190a0110d1205b491a95
fraudulent ach activity,28,688b1908aa83e8e75ab7644c
branch transaction audit,14,688b1908aa83e8e75ab7644e
branch transaction audit,14,688b1908aa83e8e75ab76453
sentinel algorithm update,31,688b19910110d1205b491a9d
fraud system upgrade,15,688b19910110d1205b491aa2
fraud system update,0,688b19910110d1205b491aa4
branch transaction audit,14,688b19910110d1205b491aa5
branch transaction audit,14,688b199daa83e8e75ab76454
branch audit preparation,1,688b1873aa83e8e75ab76449
fraud system upgrade,15,688b190a0110d1205b491a96
fraudulent wire transfer,8,688b190a0110d1205b491a97
sentinel system update,29,688b190a0110d1205b491a99
branch audit preparation,1,688b1908aa83e8e75ab7644a
branch audit preparation,1,688b1908aa83e8e75ab7644d
bsa aml audit,2,688b1908aa83e8e75ab76451
fraudulent debit transaction,21,688b1908aa83e8e75ab76452
fraud detection update,7,688b19910110d1205b491a9c
fraudulent wire transfer,8,688b19910110d1205b491aa1
fraud system update,0,688b19910110d1205b491aa3
branch audit preparation,1,688b199daa83e8e75ab76457
branch audit preparation,1,688b190a0110d1205b491a98
fraud detection update,7,688b190a0110d1205b491a9b
branch audit preparation,1,688b1908aa83e8e75ab7644b
branch transaction audit,14,688b1908aa83e8e75ab76450
fraud detection tune,7,688b19910110d1205b491a9e
fraud system upgrade,15,688b19910110d1205b491a9f
fraud system upgrade,15,688b19910110d1205b491aa0
branch transaction audit,14,688b199daa83e8e75ab76456
branch audit preparation,1,688b1a170110d1205b491aa9
sentinel system update,29,688b1a170110d1205b491aab
swift fraud protocol,33,688b1a170110d1205b491aac
aml rule revision,4,688b1a9e0110d1205b491ab1
aml rule revision,4,688b1a9e0110d1205b491ab5
fraud detection update,7,688b1b260110d1205b491ac1
branch audit preparation,1,688b1b260110d1205b491ac3
phishe attack response,25,688b1bad0110d1205b491ac4
branch audit preparation,1,688b1bad0110d1205b491ac5
false positive alert,32,688b1bad0110d1205b491ac6
branch transaction audit,14,688b199daa83e8e75ab7645a
branch audit preparation,1,688b1a170110d1205b491aa8
fraud detection update,7,688b1a9e0110d1205b491ab4
branch transaction audit,14,688b1a9e0110d1205b491ab6
aml rule update,4,688b1a9e0110d1205b491ab7
fraud system update,0,688b1a9e0110d1205b491ab8
phishe attack response,25,688b1b260110d1205b491abb
fraudulent wire transfer,8,688b1b260110d1205b491abd
fraud detection upgrade,30,688b1bad0110d1205b491ac7
branch audit preparation,1,688b199daa83e8e75ab76458
fraud system update,0,688b1a170110d1205b491aaf
aml rule revision,4,688b1a9e0110d1205b491ab0
fraudulent wire transfer,8,688b1b260110d1205b491abc
mobile banking security,30,688b1b260110d1205b491abf
fraud detection update,7,688b1b260110d1205b491ac0
fraudulent ach activity,28,688b199daa83e8e75ab76459
fraud detection rollout,30,688b1a170110d1205b491aa6
fraudulent swift message,8,688b1a170110d1205b491aa7
phishe detection update,24,688b1a170110d1205b491aaa
branch audit preparation,1,688b1a170110d1205b491aad
fraud system update,0,688b1a170110d1205b491aae
fraud detection update,7,688b1a9e0110d1205b491ab2
fraudulent wire transfer,8,688b1a9e0110d1205b491ab3
branch audit notification,13,688b1a9e0110d1205b491ab9
smishe attack response,24,688b1b260110d1205b491aba
fraud detection update,7,688b1b260110d1205b491abe
phishe attack response,25,688b1b260110d1205b491ac2
revise aml procedure,40,688b1bad0110d1205b491ac8
fraudulent wire transfer,8,688b1bad0110d1205b491acc
fraud detection update,7,688b1c330110d1205b491ad1
fraudulent wire transfer,8,688b1c330110d1205b491ad7
fraudulent transfer attempt,22,688b1cbc0110d1205b491ad8
fraudulent wire transfer,8,688b1cbc0110d1205b491ad9
branch audit preparation,1,688b1cbc0110d1205b491ada
fraud detection update,7,688b1cbc0110d1205b491adb
fraudulent debit activity,21,688b1cbc0110d1205b491adf
fraud detection upgrade,30,688b1cbc0110d1205b491ae1
fraudulent transaction review,22,688b1d420110d1205b491ae9
fraud detection update,7,688b1bad0110d1205b491ac9
fraud system update,0,688b1bad0110d1205b491aca
branch transaction audit,14,688b1bad0110d1205b491acb
phishe attack response,25,688b1c330110d1205b491ace
fraud detection update,7,688b1c330110d1205b491acf
fraudulent wire transfer,8,688b1c330110d1205b491ad0
fraud system update,0,688b1c330110d1205b491ad2
false positive alert,32,688b1c330110d1205b491ad6
branch audit preparation,1,688b1cbc0110d1205b491ade
hydra-7 malware threat,24,688b1d420110d1205b491ae2
fraud detection calibration,7,688b1d420110d1205b491ae3
fraud detection update,7,688b1d420110d1205b491ae5
fraudulent wire transfer,8,688b1d420110d1205b491ae8
fraud detection update,7,688b1c330110d1205b491ad4
fraud detection update,7,688b1d420110d1205b491ae4
fraud threshold reduction,34,688b1d420110d1205b491ae6
branch audit preparation,1,688b1d420110d1205b491ae7
branch transaction audit,14,688b1d420110d1205b491aea
branch audit preparation,1,688b1d420110d1205b491aeb
fraud system update,0,688b1bad0110d1205b491acd
fraud detection update,7,688b1c330110d1205b491ad3
fraud detection update,7,688b1c330110d1205b491ad5
branch transaction audit,14,688b1cbc0110d1205b491adc
fraud system update,0,688b1cbc0110d1205b491add
fraud system update,0,688b1cbc0110d1205b491ae0
branch audit preparation,1,688b1dc70110d1205b491aec
fraud alert threshold,34,688b1dc70110d1205b491aed
fraud detection update,7,688b1dc70110d1205b491af2
fraud detection update,7,688b1dc70110d1205b491af5
fraud detection update,7,688b1ed80110d1205b491b00
fraud system update,0,688b1ed80110d1205b491b01
aml rule revision,4,688b1ed80110d1205b491b03
branch audit preparation,1,688b1ed80110d1205b491b04
fraud detection adjustment,7,688b1ed80110d1205b491b05
branch audit notification,13,688b1ed80110d1205b491b07
fraudulent wire transfer,8,688b1ed80110d1205b491b09
cerberus x malware,24,688b1f5d0110d1205b491b0b
fraud detection update,7,688b1f5d0110d1205b491b0f
phishe attack response,25,688b1dc70110d1205b491aee
sentinel update implementation,31,688b1dc70110d1205b491aef
fraudulent wire transfer,8,688b1dc70110d1205b491af0
branch audit notification,13,688b1dc70110d1205b491af1
finacle system upgrade,35,688b1dc70110d1205b491af4
fraud detection update,7,688b1e500110d1205b491af6
fraud detection update,7,688b1e500110d1205b491afc
aml procedure update,3,688b1ed80110d1205b491b06
revise aml procedure,40,688b1f5d0110d1205b491b0e
fraudulent wire transfer,8,688b1f5d0110d1205b491b11
sentinel system update,29,688b1dc70110d1205b491af3
fraud detection update,7,688b1e500110d1205b491afa
branch audit notification,13,688b1e500110d1205b491afd
fraud detection update,7,688b1f5d0110d1205b491b0c
fraudulent debit transaction,21,688b1f5d0110d1205b491b0d
fraud system update,0,688b1f5d0110d1205b491b10
fraudulent wire transfer,8,688b1e500110d1205b491af7
fraud system update,0,688b1e500110d1205b491af8
branch audit preparation,1,688b1e500110d1205b491af9
fraudulent wire transfer,8,688b1e500110d1205b491afb
branch audit preparation,1,688b1e500110d1205b491afe
branch audit preparation,1,688b1e500110d1205b491aff
loan dscr discrepancy,11,688b1ed80110d1205b491b02
false positive alert,32,688b1ed80110d1205b491b08
branch audit preparation,1,688b1f5d0110d1205b491b0a
fraud detection upgrade,30,688b1f5d0110d1205b491b12
fraud detection update,7,688b1f5d0110d1205b491b13
fraud system update,0,688b1fe00110d1205b491b1a
sentinel system update,29,688b1fe00110d1205b491b1c
branch transaction audit,14,688b20690110d1205b491b1f
fraudulent transaction spike,22,688b20690110d1205b491b23
branch audit preparation,1,688b20f00110d1205b491b28
branch transaction audit,14,688b20f00110d1205b491b29
phishe attack response,25,688b21720110d1205b491b32
branch audit preparation,1,688b21720110d1205b491b33
enhance diligence,30,688b1fe00110d1205b491b15
branch audit preparation,1,688b1fe00110d1205b491b17
malware detection update,30,688b1fe00110d1205b491b19
fraud detection update,7,688b20690110d1205b491b1e
mobile fraud detection,30,688b20690110d1205b491b21
branch audit notification,13,688b20690110d1205b491b24
phishe attack response,25,688b20f00110d1205b491b2c
fraud detection update,7,688b20f00110d1205b491b2d
branch transaction audit,14,688b20f00110d1205b491b2f
phishe attack response,25,688b21720110d1205b491b34
fraudulent wire transfer,8,688b21720110d1205b491b36
fraudulent wire transfer,8,688b21720110d1205b491b38
fraud patch deployment,7,688b21720110d1205b491b39
branch transaction audit,14,688b1fe00110d1205b491b18
phishe attack response,25,688b1fe00110d1205b491b1d
sentinel update procedure,31,688b20690110d1205b491b22
fraud system update,0,688b20690110d1205b491b25
phishe threat update,24,688b20690110d1205b491b27
fraudulent wire transfer,8,688b20f00110d1205b491b30
sentinel system update,29,688b1fe00110d1205b491b14
fraud detection update,7,688b1fe00110d1205b491b16
fraudulent transaction review,22,688b1fe00110d1205b491b1b
fraud detection update,7,688b20690110d1205b491b20
branch audit notification,13,688b20690110d1205b491b26
fraudulent wire transfer,8,688b20f00110d1205b491b2a
sentinel system update,29,688b20f00110d1205b491b2b
phishe attack response,25,688b20f00110d1205b491b2e
core banking upgrade,23,688b21720110d1205b491b35
fraudulent wire transfer,8,688b21720110d1205b491b37
branch transaction audit,14,688b21f70110d1205b491b3c
branch transaction audit,14,688b227c0110d1205b491b47
bsa aml audit,2,688b227c0110d1205b491b49
branch audit preparation,1,688b227c0110d1205b491b4d
fraud detection update,7,688b23030110d1205b491b50
sentinel system update,29,688b23030110d1205b491b51
branch audit notification,13,688b23030110d1205b491b54
fraud detection update,7,688b238b0110d1205b491b5d
phishe attack response,25,688b238b0110d1205b491b61
fraudulent wire transfer,8,688b238b0110d1205b491b63
branch audit notification,13,688b240d0110d1205b491b65
fraud system update,0,688b240d0110d1205b491b66
fraudulent wire transfer,8,688b240d0110d1205b491b67
branch audit preparation,1,688b240d0110d1205b491b68
fraud detection update,7,688b240d0110d1205b491b6a
branch transaction audit,14,688b240d0110d1205b491b6b
fraud system update,0,688b240d0110d1205b491b6c
branch audit preparation,1,688b23f5c831f0f99f2b7686
fraud alert volume,34,688b24940110d1205b491b6f
branch transaction audit,14,688b21720110d1205b491b3b
fraud detection update,7,688b21f70110d1205b491b41
fraud detection update,7,688b21f70110d1205b491b44
branch audit preparation,1,688b227c0110d1205b491b4f
branch audit preparation,1,688b23030110d1205b491b55
fraud detection update,7,688b23030110d1205b491b59
aml rule revision,4,688b238b0110d1205b491b62
branch audit preparation,1,688b23f5c831f0f99f2b7682
branch audit preparation,1,688b23f5c831f0f99f2b7687
branch audit preparation,1,688b2470c831f0f99f2b768a
branch audit preparation,1,688b2470c831f0f99f2b768d
branch audit preparation,1,688b2470c831f0f99f2b768f
branch audit preparation,1,688b2470c831f0f99f2b7690
fraud detection update,7,688b24940110d1205b491b70
core banking upgrade,23,688b21720110d1205b491b3a
fraudulent wire transfer,8,688b21f70110d1205b491b3d
fraud detection update,7,688b21f70110d1205b491b43
phishe attack update,24,688b227c0110d1205b491b48
fraud system update,0,688b227c0110d1205b491b4b
aml rule update,4,688b227c0110d1205b491b4c
fraudulent transaction review,22,688b23030110d1205b491b52
fraud detection update,7,688b23030110d1205b491b56
aml rule revision,4,688b23030110d1205b491b58
fraud detection update,7,688b238b0110d1205b491b5a
fraud detection upgrade,30,688b238b0110d1205b491b5b
fraudulent wire transfer,8,688b238b0110d1205b491b5c
fraudulent wire transfer,8,688b238b0110d1205b491b5e
fraud detection update,7,688b240d0110d1205b491b64
branch audit preparation,1,688b240d0110d1205b491b69
branch audit preparation,1,688b23f5c831f0f99f2b7680
branch transaction audit,14,688b23f5c831f0f99f2b7684
branch transaction audit,14,688b23f5c831f0f99f2b7685
fraudulent ach activity,-1,688b2470c831f0f99f2b768b
branch audit preparation,1,688b2470c831f0f99f2b768c
branch audit preparation,1,688b2470c831f0f99f2b768e
fraudulent ach transfer,27,688b2470c831f0f99f2b7691
branch audit preparation,1,688b24940110d1205b491b6e
sentinel system update,29,688b24940110d1205b491b71
branch transaction audit,14,688b21f70110d1205b491b3e
branch audit preparation,1,688b21f70110d1205b491b3f
fraud detection update,7,688b21f70110d1205b491b40
sentinel system update,29,688b21f70110d1205b491b42
fraudulent wire transfer,8,688b21f70110d1205b491b45
fraud detection upgrade,30,688b227c0110d1205b491b46
fraud detection update,7,688b227c0110d1205b491b4a
fraudulent wire transfer,8,688b227c0110d1205b491b4e
vigilance update,26,688b23030110d1205b491b57
branch transaction audit,14,688b238b0110d1205b491b5f
phishe attack response,25,688b238b0110d1205b491b60
fraudulent wire transfer,8,688b240d0110d1205b491b6d
branch audit preparation,1,688b23f5c831f0f99f2b767e
branch transaction audit,14,688b23f5c831f0f99f2b767f
branch audit preparation,1,688b23f5c831f0f99f2b7681
branch transaction audit,14,688b23f5c831f0f99f2b7683
branch audit preparation,1,688b2470c831f0f99f2b7688
branch audit preparation,1,688b2470c831f0f99f2b7689
fraudulent wire transfer,8,688b24940110d1205b491b72
branch audit preparation,1,688b24f4c831f0f99f2b7693
branch transaction audit,14,688b24f4c831f0f99f2b7698
branch audit preparation,1,688b24f4c831f0f99f2b7699
branch audit preparation,1,688b24f4c831f0f99f2b769a
branch audit preparation,1,688b24f4c831f0f99f2b769b
branch audit preparation,1,688b25160110d1205b491b79
branch audit notification,13,688b25160110d1205b491b7b
branch audit preparation,1,688b2577c831f0f99f2b769d
fraud detection update,7,688b259b0110d1205b491b87
vigilance update,26,688b259b0110d1205b491b8a
aml rule revision,4,688b259b0110d1205b491b8b
branch audit preparation,1,688b25ebc831f0f99f2b76ad
branch audit preparation,1,688b25ebc831f0f99f2b76ae
branch audit preparation,1,688b26240110d1205b491b90
branch transaction audit,14,688b2662c831f0f99f2b76b0
branch audit preparation,1,688b2662c831f0f99f2b76b4
branch audit preparation,1,688b2662c831f0f99f2b76b5
branch audit preparation,1,688b2662c831f0f99f2b76b8
fraudulent wire transfer,8,688b24940110d1205b491b75
fraudulent wire transfer,8,688b24940110d1205b491b77
branch audit preparation,1,688b24f4c831f0f99f2b7694
phishe attack detection,24,688b25160110d1205b491b7a
branch audit notification,13,688b25160110d1205b491b7d
branch transaction audit,14,688b2577c831f0f99f2b769c
branch transaction audit,14,688b2577c831f0f99f2b769e
branch audit schedule,1,688b25ebc831f0f99f2b76a8
branch audit notification,13,688b25ebc831f0f99f2b76ab
fraud system upgrade,15,688b26240110d1205b491b8e
aml rule revision,4,688b26240110d1205b491b91
branch transaction audit,14,688b2662c831f0f99f2b76b6
fraud system update,0,688b24940110d1205b491b73
fraudulent wire transfer,8,688b24940110d1205b491b76
branch audit preparation,1,688b24f4c831f0f99f2b7696
branch transaction audit,14,688b24f4c831f0f99f2b7697
fraudulent transaction alert,22,688b25160110d1205b491b7e
branch audit notification,13,688b25160110d1205b491b80
branch audit preparation,1,688b2577c831f0f99f2b769f
branch transaction audit,14,688b259b0110d1205b491b82
fraud detection update,7,688b259b0110d1205b491b83
fraud system update,0,688b259b0110d1205b491b84
branch audit preparation,1,688b259b0110d1205b491b85
smurfing investigation,24,688b259b0110d1205b491b88
fraud detection update,7,688b259b0110d1205b491b89
branch transaction audit,14,688b25ebc831f0f99f2b76a7
branch audit preparation,1,688b26240110d1205b491b93
fraudulent ach transfer,27,688b2662c831f0f99f2b76af
branch transaction audit,14,688b2662c831f0f99f2b76b3
fraud system update,0,688b26aa0110d1205b491b96
phishe campaign impact,24,688b24940110d1205b491b74
branch audit preparation,1,688b24f4c831f0f99f2b7692
branch transaction audit,14,688b24f4c831f0f99f2b7695
fraud detection upgrade,30,688b25160110d1205b491b78
fraud system update,0,688b25160110d1205b491b7c
phishe campaign detection,24,688b25160110d1205b491b7f
branch audit preparation,1,688b25160110d1205b491b81
branch audit preparation,1,688b2577c831f0f99f2b76a0
fraudulent ach activity,28,688b2577c831f0f99f2b76a1
branch audit preparation,1,688b2577c831f0f99f2b76a2
branch transaction audit,14,688b2577c831f0f99f2b76a3
branch audit notification,13,688b2577c831f0f99f2b76a4
branch audit notification,13,688b259b0110d1205b491b86
branch transaction audit,14,688b25ebc831f0f99f2b76a5
branch transaction audit,14,688b25ebc831f0f99f2b76a6
branch audit notification,13,688b25ebc831f0f99f2b76a9
branch audit preparation,1,688b25ebc831f0f99f2b76aa
branch audit preparation,1,688b25ebc831f0f99f2b76ac
fraudulent transaction pattern,22,688b26240110d1205b491b8c
